term_vs,acronym_abrev,term_eng,criterion_and_use
RAMP vs GARAGE RAMP vs SLOPE vs CROSS SLOPE vs PITCH,RAMP,Ramp,Rampas entre 1:20 y 1:12 de pendiente. Pendiente 1:20 → Landing 5' (cada 40') / Pendiente 1:16 → Landing 5' (cada 40') / Pendiente 1:12 → Landing 5' (cada 30'). Las rampas necesitarán handrail siempre que suban más de 6”. Ninguna rampa peatonal debe subir más de 30” por tramo.
RAMP vs GARAGE RAMP vs SLOPE vs CROSS SLOPE vs PITCH,GAR RAMP,Garage Ramp,Rampa con parqueos → Pendiente max 6.67% → Jump stairs (si fuera necesario). Rampa sin parqueos (speed ramp) → Pendiente max 20%. Cuando la pendiente supera el 10% → Transiciones 8' al inicio y final de la rampa. Dichas transiciones tendrán una pendiente con la mitad de % que la principal. Esto es para que el carro no pegue al iniciar la subida y poder tener visibilidad arriba.
RAMP vs GARAGE RAMP vs SLOPE vs CROSS SLOPE vs PITCH,SL,Slope,"Rampas con pendiente menor de 1:20 (usualmente se expresa en X/FT, eg 1/4”/FT). Generalmente aplica en zonas con variación pequeña de altura o para drenaje. Slope también es la palabra genérica para indicar la pendiente de cualquier elemento."
RAMP vs GARAGE RAMP vs SLOPE vs CROSS SLOPE vs PITCH,XSL,Cross Slope,Peralte (es la pendiente en sentido perpendicular a la pendiente principal). El peralte máximo de cualquier tipo de rampa es 1:48 (∼2%).
RAMP vs GARAGE RAMP vs SLOPE vs CROSS SLOPE vs PITCH,RF PTCH,Roof Pitch,"Pendiente del techo (se expresa en valores en base 12, por ejemplo 4:12). La intersección entre dos vertientes del techo con la misma pendiente → 45º. Pero si las vertientes tienen diferente pendiente, pasos para calcular la intersección: 1. En el roof plan, se busca el punto de intersección en el arranque de ambas. 2. Se dibujan offsets en cada vertiente (cuyas distancias dependen de la pendiente). 3. El offset será la distancia que dicha vertiente necesite para elevarse 1'. 4. Por ejemplo, para 3:12 sería 4', para 4:12 sería 3' y para 6:12 sería 2'. 5. La intersección entre ambos offsets, definirá la intersección de las vertientes."
FLOOR AREA RATIO (FAR) vs BUILDING COVERAGE RATIO (BCR),FAR,Floor Area Ratio,Coeficiente de edificabilidad. Se calcula dividiendo las áreas brutas totales del edificio entre el área total del lote.
FLOOR AREA RATIO (FAR) vs BUILDING COVERAGE RATIO (BCR),BCR,Building Coverage Ratio / Lot Coverage,Coeficiente de ocupación del lote. Se calcula dividiendo el área del outline del edificio entre el área total del lote.
GROSS SQUARE FOOTAGE (GSF) vs NET SQUARE FOOTAGE (NSF),GSF,Gross Square Footage,Superficie bruta en pies cuadrados (incluye el área inutilizable de las paredes).
GROSS SQUARE FOOTAGE (GSF) vs NET SQUARE FOOTAGE (NSF),NSF,Net Square Footage,Superficie neta en pies cuadrados (sólo incluye el área interior).
LEASABLE vs NON-LEASABLE vs LEASABLE AMENITY,LEAS,Leasable Area,"Área arrendable (se toma el área bruta de todas las units del edificio, sin balcones)."
LEASABLE vs NON-LEASABLE vs LEASABLE AMENITY,NON-LSE,Non-Leasable Area,"Área no arrendable (corredores, escaleras, elevadores, cuartos eléctricos...etc)."
LEASABLE vs NON-LEASABLE vs LEASABLE AMENITY,LSE AMEN,Leasable Amenity Area,Área arrendable exclusivamente para amenidades.
FIXTURES vs APPLIANCES,FIXT,Fixtures,"Elementos fijos (se consideran como parte de la propiedad). Ejemplos: Muebles de cocina, isla, inodoro, tina..."
FIXTURES vs APPLIANCES,APP,Appliances,"Elementos semi-fijos (se pueden sacar de la propiedad sin dañarla/afectarla). Ejemplos: Refrigerador, lavadora, secadora..."
FURNITURES vs FURNISHINGS,FURN,Furnitures,Mobiliario.
FURNITURES vs FURNISHINGS,FURNSH,Furnishings,"Mobiliario (incluye elementos adicionales como cortinas, alfombras y acabados)."
TRUSS vs RAFTER,TRSS,Truss,Cercha de madera o metal (pre-fabricada).
TRUSS vs RAFTER,RFTR,Rafter,Cercha de madera o metal (creada in situ).
SHEAR WALL vs TUNNEL WALL vs DEMISING WALL vs PARTITION,SHR WALL,Shear Wall,"Muro cortante (posee gran resistencia a esfuerzos laterales, como viento o sismos)."
