module,acronym_abrev,term_eng,term_esp,definition_esp
PROJECT PHASES,PD,Preliminary Design,Diseño Preliminar,Fase de diseño preliminar (pre-diseño). Fase de análisis donde se evalúan las condiciones y necesidades iniciales del proyecto.
PROJECT PHASES,SD,Schematic Design,Diseño Esquemático,"Fase de diseño esquemático. Se definen las intenciones espaciales, escala, volumetría y relaciones conceptuales generales."
PROJECT PHASES,DD,Design Development,Desarrollo De Diseño,"Fase de desarrollo de diseño. Definición técnica detallada que fija sistemas constructivos, dimensiones y layouts de ingeniería."
PROJECT PHASES,CD,Construction Documents,Documentación Constructiva,Fase de documentation constructiva. Preparación de planos ejecutivos finales y especificaciones técnicas necesarias para tramitar permisos y construir la obra.
PROJECT PHASES,BID,Bidding,Licitación,Fase de licitación. Periodo de concurso donde se presentan los planos y especificaciones a contratistas para su cotización y adjudicación.
PROJECT PHASES,CA,Construction Administration,Administración Constructiva,Fase de administración constructiva. Supervisión y acompañamiento del equipo de diseño durante la obra para garantizar la fidelidad de la ejecución respecto a los planos.
COEFFICIENTS,COEF,Coefficient,Coeficiente,"Coeficiente. Valor numérico que actúa como factor multiplicador para determinar propiedades físicas, espaciales o regulatorias."
COEFFICIENTS,STC,Sound Transmission Class,Clase De Transmisión De Sonido,"Capacidad de un material de bloquear el sonido aéreo a través de una pared o losa (ejemplo: pared liviana de 4"" sin insulación -> STC = 33)."
COEFFICIENTS,NRC,Noise Reduction Coefficient,Coeficiente De Reducción De Ruido,Coeficiente que mide la efectividad de absorción de un sonido en un espacio. Toma un valor comprendido entre 0 y 1 (0 = sonido completamente reverberante / 1 = sonido totalmente absorbido).
COEFFICIENTS,IIC,Impact Isolation Class,Clase De Aislamiento De Impacto,"Capacidad de un material de absorber sonido provocado por impactos directos sobre la estructura, tales como pisadas (ejemplo: concreto pelado -> IIC = 25)."
COEFFICIENTS,COF,Coefficient Of Friction,Coeficiente De Fricción,"Coeficiente que mide el grado de fricción o qué tan resbaladiza es una superficie. Toma un valor entre 0 y 1 (a mayor valor, superficie más segura y menos resbaladiza)."
COEFFICIENTS,SHGC,Solar Heat Gain Coefficient,Coeficiente De Ganancia De Calor Solar,"Coeficiente de ganancia de calor solar. Mide la fracción de radiación solar incidente que atraviesa un panel de vidrio. Toma valores entre 0 y 1 (a mayor valor, más calor solar ingresa al edificio)."
COEFFICIENTS,U,U-Factor,Factor U,"Factor U. Determina el grado de transferencia térmica y eficiencia del aislamiento de un panel de vidrio. A menor valor, mayor capacidad aislante (ejemplo: ventana eficiente → U = 0.20). Es inversamente proporcional al R-factor (U = 1/R)."
COEFFICIENTS,R,R-Factor,Factor R,"Factor R. Determina la resistencia de un material o elemento constructivo a la transferencia térmica. A mayor valor, mayor eficiencia del aislamiento (ejemplo: elemento eficiente → R = 5). Es inversamente proporcional al U-factor (R = 1/U)."
COEFFICIENTS,FAR,Floor Area Ratio,Coeficiente De Edificabilidad,Coeficiente de edificabilidad urbana. Se calcula matemáticamente dividiendo las áreas brutas totales construidas del edificio (GSF) entre el área total del lote.
COEFFICIENTS,BCR,Building Coverage Ratio / Lot Coverage,Coeficiente De Ocupación Del Lote,Coeficiente de ocupación del suelo o huella. Se calcula dividiendo el área de la proyección en planta (outline) del edificio entre el área total del lote.
COEFFICIENTS,DENS,Density,Densidad Habitacional,"Densidad de unidades residenciales. Se mide habitualmente en DU/AC (Dwelling Units per Acre) y establece el límite legal de unidades del proyecto según su zonificación (ejemplo: requerimiento de 150 DU/AC en un lote de 100,000 SF [2.30 AC] → 150 x 2.30 = 345 unidades permitidas)."
COEFFICIENTS,GSF,Gross Square Footage,Superficie Bruta En Pies Cuadrados,Superficie total construida que incluye el espesor y área unusable de las paredes exteriores e interiores.
COEFFICIENTS,NSF,Net Square Footage,Superficie Neta En Pies Cuadrados,Superficie útil que sólo incluye las áreas interiores netas utilizables entre caras de paredes.
